tAsimetrico;tSimetrico
9,7895;16,1725
6,1831;13,3752
8,1356;0,3692
10,7739;0,4395
1,8337;0,4948
1,6262;1,0178
1,4768;2,3849
1,782;0,4475
1,8843;0,7129
1,6131;0,3131
1,9223;0,436
1,6619;0,4319
1,6598;0,3617
1,543;1,542
1,5969;1,116
1,418;2,1492
1,9189;0,2875
1,4084;0,496
2,5587;0,4014
1,4999;0,3335
18,6084;0,3962
2,2008;0,2788
1,3467;0,3786
1,7395;0,348
1,5433;0,3517
1,5632;0,4615
1,7941;0,3497
1,4006;0,21
1,3569;0,3161
1,2923;0,3555
1,4309;0,3433
1,2046;0,3022
1,3991;0,3078
1,1418;0,2493
1,8964;0,1527
1,3073;0,2558
1,2305;0,2828
1,5032;0,2986
1,137;0,1487
1,4971;0,2858
1,3345;1,4375
1,236;0,2097
1,224;0,2459
1,1156;0,6619
1,2691;0,8411
1,0697;0,2068
1,1218;0,1759
1,2041;0,2782
1,257;0,2635
1,3108;0,2066
1,2887;0,2175
1,1153;0,1401
1,1747;0,1934
1,3911;0,195
1,332;0,1912
1,2025;0,2151
2,0145;0,1493
1,1691;0,1411
1,2732;0,143
1,3053;0,1887
1,0991;0,1561
1,3327;0,1863
1,071;0,1676
1,2073;0,2475
