tAsimetrico;tSimetrico
1363000;328900
1416200;341900
1271000;587500
1307300;198300
1596500;222500
1661300;363600
1821300;262300
1499100;611400
1591100;214500
1325400;205200
1622900;342400
1495100;1702800
1411800;247300
1664700;192000
1509000;224100
1361700;249300
9607500;246500
1532100;186400
1367100;233600
1575300;239900
1310100;401100
1569000;157200
1469600;186800
1332200;224700
1401600;162200
1302800;220400
1566900;358900
1532500;167200
1618100;175400
1292000;344200
1594400;237700
1565400;320600
4788600;24849600
7835500;521700
2369200;410300
1828200;541000
3110500;635200
1545400;510500
2041700;498500
2114700;372800
2514000;634400
2485800;603300
2005400;342300
1523400;439000
1954200;420200
2841100;665100
2193600;362200
2199200;351400
1885500;325600
1886700;261900
1996300;395000
1220800;382300
1564100;418700
1448700;219700
1596000;230300
1502200;413700
1458800;300500
1083400;278000
1405900;197000
1109000;265000
1741900;272400
1723200;205800
1777600;283400
1430200;275700
